DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,26XX LIDDELL ST,39.1334631238906,-84.5481369497884,NORTH FAIRMT,NORTH FAIRMOUNT,"4,379",189021165,1,,BLACK,MALE,29,NONFATAL,08/03/2018 12:00:00 AM,AUG,182300,18,FRI,189021165,08/03/2018 06:23:00 PM,DISTRICT 3,,NORTH FAIRMOUNT
4,6XX FOREST AV,39.1454229232179,-84.4925658573524,AVONDALE,AVONDALE,"2,086",139001987,1,"CINC, OH 45237",BLACK,MALE,33,NONFATAL,01/22/2013 12:00:00 AM,JAN,151000,15,TUE,139001987,01/22/2013 03:10:00 PM,DISTRICT 4,45229,AVONDALE
4,12XX LINCOLN AV,39.1328162937725,-84.4833863185345,WALNUT HILLS,WALNUT HILLS,462,40900955,1,,BLACK,MALE,29,FATAL,02/10/2009 12:00:00 AM,FEB,,N/A,TUE,40900955,02/10/2009 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
5,54XX BAHAMA TE,39.1890708600253,-84.5663415279452,MT AIRY,MT. AIRY,316,50806077,2,,BLACK,MALE,18,FATAL,10/04/2008 12:00:00 AM,OCT,,N/A,SAT,50806077,10/04/2008 12:00:00 AM,DISTRICT 5,45223,MOUNT AIRY
1,16XX RACE ST,39.1135157263552,-84.517698879053,OVER-THE-RHINE,OVER-THE-RHINE,635,10903184,1,,BLACK,MALE,43,NONFATAL,07/16/2009 12:00:00 AM,JUL,,N/A,THU,10903184,07/16/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,49XX READING RD,39.1769016036746,-84.4675690308632,BOND HILL,BOND HILL,"2,593",149009643,1,"CINC, OH 45237",BLACK,MALE,36,NONFATAL,04/29/2014 12:00:00 AM,APR,204100,20,TUE,149009643,04/29/2014 08:41:00 PM,DISTRICT 4,45237,BOND HILL
3,35XX WARSAW AV,39.1097979192627,-84.5687316967619,EAST PRICE HILL,EAST PRICE HILL,"3,662",169024922,1,"CINCINNATI, OH 45232",BLACK,MALE,22,NONFATAL,09/24/2016 12:00:00 AM,SEP,202500,20,SAT,169024922,09/24/2016 08:25:00 PM,DISTRICT 3,,EAST PRICE HILL
1,17XX RACE ST,39.1150803061632,-84.5188572609679,OVER-THE-RHINE,OVER-THE-RHINE,"1,475",11102745,1,"CINC, OH 45225",BLACK,MALE,31,NONFATAL,07/04/2011 12:00:00 AM,JUL,110000,11,MON,11102745,07/04/2011 11:00:00 AM,DISTRICT 1,45202,OTR
5,51XX COLERAIN AV,39.1825894230689,-84.5671457264648,MT AIRY,MT. AIRY,31,50800855,1,,BLACK,MALE,27,NONFATAL,02/11/2008 12:00:00 AM,FEB,,N/A,MON,50800855,02/11/2008 12:00:00 AM,DISTRICT 5,45223,MOUNT AIRY
1,1XX GREEN ST,39.1135549591451,-84.519127433808,OVER-THE-RHINE,OVER-THE-RHINE,750,10904939,1,,BLACK,MALE,16,NONFATAL,10/20/2009 12:00:00 AM,OCT,,N/A,TUE,10904939,10/20/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,6XX FOREST AV,39.1460163281758,-84.4944006694383,AVONDALE,AVONDALE,739,40906826,1,,BLACK,MALE,17,NONFATAL,10/01/2009 12:00:00 AM,OCT,,N/A,THU,40906826,10/01/2009 12:00:00 AM,DISTRICT 4,45229,AVONDALE
5,50XX WINNESTE AV,39.181958652192,-84.5125762488406,WINTON HILLS,WINTON HILLS,194,50803973,1,,BLACK,MALE,18,NONFATAL,07/09/2008 12:00:00 AM,JUL,,N/A,WED,50803973,07/09/2008 12:00:00 AM,DISTRICT 5,45232,WINTON HILLS
4,26XX GLENDORA AV,39.1290017681072,-84.5111346985643,CORRYVILLE,CORRYVILLE,"1,156",41006315,1,"CINC, OH 45219",BLACK,MALE,25,NONFATAL,10/04/2010 12:00:00 AM,OCT,,N/A,MON,41006315,10/04/2010 12:00:00 AM,DISTRICT 4,45219,CORRYVILLE
4,35XX WASHINGTON AV,39.1477486408953,-84.4937922641879,AVONDALE,AVONDALE,"3,996",179028497,1,,BLACK,MALE,30,NONFATAL,07/20/2017 12:00:00 AM,JUL,155000,15,THU,179028497,07/20/2017 03:50:00 PM,DISTRICT 4,,AVONDALE
3,19XX KNOB CT,39.1380291708012,-84.5536469974613,ENGLISH WOODS,ENGLISH WOODS,"3,241",159027953,1,"CINCINNATI, OH 45225",BLACK,MALE,29,NONFATAL,10/11/2015 12:00:00 AM,OCT,,N/A,SUN,159027953,10/11/2015 12:00:00 AM,DISTRICT 3,,ENGLISH WOODS
1,1XX GREEN ST,39.1140049591451,-84.517317433808,OVER-THE-RHINE,OVER-THE-RHINE,173,10803050,1,,BLACK,MALE,38,NONFATAL,06/24/2008 12:00:00 AM,JUN,,N/A,TUE,10803050,06/24/2008 12:00:00 AM,DISTRICT 1,45202,OTR
3,23XX NOTTINGHAM RD,39.1571149862022,-84.5600660146926,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,"1,885",129019357,1,"CINC, OH 45230",BLACK,MALE,42,NONFATAL,07/14/2012 12:00:00 AM,JUL,020000,2,SAT,129019357,07/14/2012 02:00:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
4,76XX READING RD,39.1999696563863,-84.4570482006327,ROSELAWN,ROSELAWN,662,40905305,1,,BLACK,MALE,26,NONFATAL,08/01/2009 12:00:00 AM,AUG,,N/A,SAT,40905305,08/01/2009 12:00:00 AM,DISTRICT 4,45237,ROSELAWN
3,12XX MANSS AV,39.1163810581882,-84.5779003088365,WEST PRICE HILL,WEST PRICE HILL,72,30802838,1,,WHITE,FEMALE,25,NONFATAL,04/05/2008 12:00:00 AM,APR,,N/A,SAT,30802838,04/05/2008 12:00:00 AM,DISTRICT 3,45205,WEST PRICE HILL
3,19XX QUEBEC RD,39.1212106049905,-84.5704228475079,WEST PRICE HILL,EAST PRICE HILL,"3,670",169025272,3,,WHITE,MALE,19,NONFATAL,09/27/2016 12:00:00 AM,SEP,214000,21,TUE,169025272,09/27/2016 09:40:00 PM,DISTRICT 3,,WEST PRICE HILL
3,32XX MCHENRY AV,39.1443612738535,-84.5749076445699,EAST WESTWOOD,EAST WESTWOOD,144,30805045,1,,BLACK,MALE,19,NONFATAL,06/03/2008 12:00:00 AM,JUN,,N/A,TUE,30805045,06/03/2008 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
5,52XX EASTKNOLL CT,39.1886292951792,-84.5722615020584,MT AIRY,MT. AIRY,"1,968",129027340,1,0,BLACK,MALE,112,FATAL,09/22/2012 12:00:00 AM,SEP,150200,15,SAT,129027340,09/22/2012 03:02:00 PM,DISTRICT 5,45239,MOUNT AIRY
